"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Replace Secondary Distribution System,Ogden,UT,Undetermined,To Be Determined,Firm Fixed Price,Negotiated,To Be Determined,"$500,000.00 ","$1,000,000.00 ",,N/A,,New Requirement,GSA funded,TBD,,FY 2015-3rd Quarter,Gerald Silver,gerald.silver@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Design Services - Tenant expansion/TIs,Minot,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$50,000.00 ",,N/A,,New Requirement,GSA funded,TBD,,FY 2015-4th Quarter,Pamela Burley,gerald.silver@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Recycling Services,Statewide,MT,562111,Small Business,Firm Fixed Price,Purchase Order,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",$0.00 ,"$10,000.00 ",,Helena Recycling LLC,GS-08P-15-VG-P-0007,New Requirement,GSA funded,1/9/15,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 1/27/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Security Upgrades - for DOT/FHWA,Helena,MT,561621,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Commercial Item Contract,Set-Aside,$0.00 ,"$40,000.00 ",,Angler Construction Inc.,GS-08P-15-VG-P-0002,New Requirement,Non-GSA funded,12/10/14,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 1/16/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Install Smoke Barriers - Bozeman FB/PO,Bozeman,MT,236220,Small Business,Firm Fixed Price,Negotiated,Set-Aside,$0.00 ,"$10,000.00 ",,"FHG Construction, LLC",GS-08P-15-VG-P-0003,New Requirement,GSA funded,10/21/14,,FY 2015-1st Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 10/31/2014.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Emergency Roof Repairs - Billings CH,Billings,MT,238160,Small Business,Firm Fixed Price,Negotiated,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)","$10,000.00 ","$25,000.00 ",,Metal Works of Montana,GS-08P-15-VG-P-0004,New Requirement,GSA funded,N/A,,FY 2015-1st Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 11/19/14.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Emergency Domestic Water Line Reparis - Piegan LPOE,Piegan,MT,238220,Small Business,Firm Fixed Price,Negotiated,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)","$10,000.00 ","$25,000.00 ",,ProSource Consulting LLC,GS-08P-15-VG-P-0006,New Requirement,GSA funded,N/A,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 1/12/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,"Custodial Services - Option Year II Exercise - for DHS/TSA - Billings, MT",Billings,MT,561720,Small Business,Firm Fixed Price,Contract modification,Set-Aside,"$22,015.92 ","$22,015.92 ",,Henneberry's Janitorial,GS-08P-13-VG-C-0031,Exercise of Option,Non-GSA funded,N/A,,FY 2015-3rd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Option Year I ends 6/30/15.  Plan to exercise Option Year II.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,Full O&M Maintenance Contract - Option Year I Exercise - Turner LPOE,Turner,MT,561210,Small Business,Firm Fixed Price,Contract modification,Set-Aside,"$134,541.60 ","$134,541.60 ",,ProSource Consulting LLC,GS-08P-14-VG-C-0075,Exercise of Option,GSA funded,N/A,,FY 2015-4th Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Base Year ends 9/26/15.  Plan to exercise Option Year I.  Also a WOSB.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Courtroom Acoustical Ceiling Panel Repairs - Billings CH,Billings,MT,238310,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$10,000.00 ",,N/A,,New Requirement,GSA funded,3/3/15,,FY 2015-3rd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Solicitation due: 4/3/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Drafting Solicitation,Install Protected Circuit Outlets for DHS/CBP - Havre BPSHQ,Havre,MT,238210,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,N/A,,New Requirement,Non-GSA funded,TBD,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Drafting Solicitation,Conduit Repair for DHS/CBP - Havre BPSHQ,Havre,MT,238210,To Be Determined,To Be Determined,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,N/A,,New Requirement,Non-GSA funded,TBD,,FY 2015-3rd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Firing Range Clean/Lead Abate for DHS/CBP - Sweetgrass LPOE,Sweetgrass,MT,562910,Small Business,Firm Fixed Price,Contract modification,Set-Aside,"$12,400.00 ","$12,400.00 ",,"Ingraham Environmental, Inc.",GS-08P-14-VG-P-0089,New Requirement,Non-GSA funded,,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Drafting Solicitation,Water Heater Replacement - Havre BPSHQ,Havre,MT,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,$0.00 ,"$10,000.00 ",,N/A,,New Requirement,GSA funded,TBD,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Firing Range Clean/Lead Abate for DHS/CBP - Piegan LPOE,Piegan,MT,562910,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,Set-Aside,"$10,000.00 ","$15,000.00 ",,Abatement Contractors of Montana (ACM),GS-08P-14-VG-P-0091,New Requirement,Non-GSA funded,10/31/14,N/A,FY 2015-1st Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 11/17/14.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Tenant Build Out and minor building improvements,Salt Lake City,UT,Undetermined,To Be Determined,Firm Fixed Price,To Be Determined,Set-Aside,"$1,000,000.00 ","$5,000,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jessica Williams,jessica.williams@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Tenant Build Out and minor building improvements,Salt Lake City,UT,Undetermined,To Be Determined,Firm Fixed Price,,Set-Aside,"$10,000,000.00 ","$13,000,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jessica Williams,jessica.williams@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Replace Caulking,Huron,SD,238390,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Replace Fire Pump,Huron,SD,238220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,Competed under SAP,"$25,000.00 ","$150,000.00 ",,N/A,,New Requirement,GSA funded,,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,A/E service to design FBI space alterations,Minot,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Install New Water Meter,Pierre,SD,Undetermined,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,GSA funded,TBD,,FY 2015-Quarter To Be Determined,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,DOL remodel office areas on 2nd floor,Pierre,SD,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,"$25,000.00 ","$100,000.00 ",,N/A,,New Requirement,Non-GSA funded,1/27/15,,FY 2015-2nd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Install ADA Door Opener,Pierre,SD,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,,New Requirement,Non-GSA funded,TBD,,FY 2015-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Install New Fire Valves,Pierre,SD,238220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,N/A,GS-08P-15-VL-P-0010,New Requirement,Non-GSA funded,2/9/15,,FY 2015-2nd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,WY O&M ,Statewide,WY,Undetermined,HUBZone Small Business,Firm Fixed Price,Contract modification,Set-Aside,"$570,000.00 ","$570,000.00 ",,CNV,GS-08P-12-JC-C-0006,Exercise of Option,GSA funded,,,FY 2015-Quarter To Be Determined,Monique Brumley,monique.brumley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,custodial services,Fargo,ND,Undetermined,AbilityOne,Firm Fixed Price,Contract,Set-Aside,$0.00 ,$0.00 ,,Vocational Training Center,GS-08P-11-VJ-C-0016,Exercise of Option,GSA funded,,,FY 2015-3rd Quarter,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,O&M/custodial services,major cities,ND,Undetermined,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Commercial Item Contract,Set-Aside,$0.00 ,$0.00 ,,KOMEX-CNV LLC,GS-08P-12-VJ-C-0024,Exercise of Option,GSA funded,,,FY 2015-3rd Quarter,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,O&M/custodial services,LPOEs,ND,Undetermined,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00 ,$0.00 ,,"Madison Services, Inc.",GS-08P-14-VJ-D-0001,Exercise of Option,To Be Determined,,,FY 2015-Quarter To Be Determined,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,T3 Custodial (Source America),Lakewood,CO,Undetermined,AbilityOne,Firm Fixed Price,Contract modification,,"$250,000.00 ","$500,000.00 ",,,,Exercise of Option,GSA Funded,,,FY 2015-2nd Quarter,Mire Whittenburg,mire.whittenburg@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,T2 Operations and Maintenance Services,Lakewood,CO,561210,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract modification,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$1,000,000.00 ","$5,000,000.00 ",,"Kcorp Technology Services, Inc.",GS-08P-09-JA-D-0046,Exercise of Option,GSA Funded,,,FY 2015-1st Quarter,Mire Whittenburg,mire.whittenburg@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,"T3 Custodial (B67, 75, 85, 85A, 810)",Lakewood,CO,Undetermined,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)","$1,000,000.00 ","$5,000,000.00 ",,PM Servicecs,GS-06F-0048/GS-P-08-14-JA-0042,Exercise of Option,GSA Funded,,,FY 2015-4th Quarter,Mire Whittenburg,mire.whittenburg@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,T2/T4 Custodial,Lakewood,CO,Undetermined,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)","$1,000,000.00 ","$5,000,000.00 ",,"REB Rowe Contracting Service, Inc.",GS-08P-15-JA-C-0005,Exercise of Option,GSA Funded,,,FY 2015-1st Quarter,Lorraine Douglas,lorraine.douglas@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Already Award in FY15
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,T4 Operations and Maintenance Services,Lakewood,CO,561210,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)","$1,000,000.00 ","$5,000,000.00 ",,"Aleut Facilities Support Services, LLC",GS-08P-14-JA-D-0019,Exercise of Option,GSA Funded,,,FY 2015-4th Quarter,Jill Long,jill.long@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,T3 Operations and Maintenance Services,Lakewood,CO,561210,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)","$1,000,000.00 ","$5,000,000.00 ",,PM Services,GS-08P-08-JA-D-0006,Exercise of Option,GSA Funded,,,FY 2015-3rd Quarter,Mire Whittenburg,mire.whittenburg@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Trash Removal and Recycling,Lakewood,CO,Undetermined,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract modification,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$100,000.00 ","$200,000.00 ",,VMX International,GS-08P-12-JA-C-0019,Exercise of Option,GSA Funded,,,FY 2015-2nd Quarter,Lorraine Douglas,lorraine.douglas@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Grounds Maintenance and Snow Removal,Lakewood,CO,Undetermined,Other Than Small,Firm Fixed Price,Contract modification,Competitive Schedule Buy,"$1,000,000.00 ","$5,000,000.00 ",,Davey Tree,GS-21F-0060U/GS-P-08-13-JA-0042,Exercise of Option,GSA Funded,,,FY 2015-4th Quarter,Sarah Callies,Sarah.callies@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Exercise Option Period
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Snow Removal (After Hours/Wknds/Holidays),Piegan,MT,561790,Small Business,Firm Fixed Price,Contract modification,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$10,000.00 ",,Prosource,GS-08P-14-VG-P-0014,New Requirement,GSA funded,,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Mod Done 1/9/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Janitorial - Outbuildings for DHS/CBP,Havre,MT,561720,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$10,000.00 ",,QCI,GS-08P-14-VG-P-0059,New Requirement,Non-GSA funded,,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Awarded 2/4/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Snow Removal (Housing) for DHS/CBP,Piegan,MT,561790,Small Business,Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",$0.00 ,"$10,000.00 ",,,GS-08P-14-VG-P-0016,New Requirement,Non-GSA funded,,,FY 2015-2nd Quarter,Shawna Horvath,shawna.horvath@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",Mod Done 2/5/15.
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,snow removal services,Bismarck,ND,561790,To Be Determined,Time and Materials,Purchase Order,Set-Aside,"$25,000.00 ","$150,000.00 ",,,,To Be Determined,GSA funded,,,FY 2015-4th Quarter,Cody Lee,cody.lee@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,upgrade fire system,Bismarck,ND,Undetermined,To Be Determined,Firm Fixed Price,Definitive Contract,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,install new sidewalks,Portal,ND,238990,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,3/18/15,,FY 2015-3rd Quarter,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,interior/exterior painting,Ambrose,ND,238320,To Be Determined,Firm Fixed Price,Purchase Order,,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,replace sidewalks,Bismarck,ND,238990,To Be Determined,Firm Fixed Price,Purchase Order,,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,add BAS alarm to circulating pump,Dunseith,ND,238220,To Be Determined,Firm Fixed Price,Purchase Order,,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,sewer line replacement,Pembina,ND,237110,To Be Determined,Firm Fixed Price,Purchase Order,,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,A/E design for structural damage caused by trucks hitting loading dock,Pembina,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,A/E design to remedy booth heat issue,Pembina,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,A/E design for structural damage caused by trucks hitting loading dock,Portal,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,A/E study to stop frozen pipes at Burdick FB/CH,Fargo,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,,,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,A/E service to design FBI space alterations,Minot,ND,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,,$0.00 ,$0.00 ,,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Pam Burley,pam.burley@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Remodel Senator Enzi's Office,Cheyenne,WY,Undetermined,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)","$25,000.00 ","$150,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Wash Exterior Walls,Casper,WY,Undetermined,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-Quarter To Be Determined,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Construction - RWA for ONRR,Lakewood,CO,236220,Small Business,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)","$505,000.00 ","$505,000.00 ",,,,New Requirement,Non-GSA funded,,,FY 2015-4th Quarter,Kenya Freeman,kenya.freeman@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,New flooring for Probation Office,Casper,WY,238330,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,"$2,000.00 ","$25,000.00 ",,,,New Requirement,Non-GSA funded,3/18/15,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Insulate Piping after ACM Removal,Casper,WY,238290,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Remove ACM Fitting in Garage,Casper,WY,562910,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,"Purchase and Install New Planters, Plant flowers in all planters around facility",Casper,WY,561730,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,"$2,500.00 ","$25,000.00 ",,,,New Requirement,GSA funded,3/19/15,,FY 2015-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Purchase and install awning,Casper,WY,236220,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Install new chiller reversing valve,Cheyenne,WY,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,"$2,000.00 ","$25,000.00 ",,,,New Requirement,GSA funded,3/12/15,,FY 2015-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Window washing,Cheyenne,WY,561790,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,$0.00 ,"$25,000.00 ",,,,New Requirement,GSA funded,,,FY 2015-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Pennie Estrada, 303-236-7409, pennie.estrada@gsa.gov",
